full_address,incident_id,start_time,end_time,min_flood_depth,max_flood_depth,avg_flood_depth,area_sqm,county,town,vil
彰化縣大城鄉東港村,2327,2021-02-12 11:07:00,2021-02-12 23:44:00,4.0,15.2,14.324590163934426,2523067.1195839355,彰化縣,大城鄉,東港村
彰化縣大城鄉東港村,2361,2021-07-25 03:31:00,2021-07-25 09:51:00,40.6,51.1,47.997368421052634,2523067.1195839355,彰化縣,大城鄉,東港村
彰化縣大城鄉臺西村,2369,2021-02-12 13:56:00,2021-02-12 23:36:00,5.1,13.9,13.388135593220339,26166046.38201706,彰化縣,大城鄉,臺西村
彰化縣大城鄉臺西村,2370,2021-04-15 13:48:00,2021-04-15 13:48:00,11.0,11.0,11.0,26166046.38201706,彰化縣,大城鄉,臺西村
彰化縣大村鄉平和村,2371,2021-06-21 09:19:00,2021-06-21 14:10:00,4.4,18.7,13.823076923076922,5386509.339227911,彰化縣,大村鄉,平和村
彰化縣彰化市卦山里,2372,2019-10-23 17:25:00,2019-10-23 17:35:00,22.7,28.9,25.799999999999997,911331.553477816,彰化縣,彰化市,卦山里
彰化縣彰化市卦山里,2408,2021-04-20 11:09:00,2021-04-20 11:09:00,12.4,12.4,12.4,911331.553477816,彰化縣,彰化市,卦山里
彰化縣彰化市寶廍里,2463,2022-09-03 10:39:00,2022-09-03 13:28:00,5.0,18.0,10.744444444444445,2281054.70400237,彰化縣,彰化市,寶廍里
彰化縣彰化市寶廍里,2462,2022-08-19 16:26:00,2022-08-19 17:46:00,6.9,18.7,12.244444444444445,2281054.70400237,彰化縣,彰化市,寶廍里
彰化縣彰化市寶廍里,2459,2022-07-04 16:48:00,2022-07-04 18:28:00,6.0,18.4,13.154545454545454,2281054.70400237,彰化縣,彰化市,寶廍里
彰化縣彰化市寶廍里,2457,2022-06-08 17:22:00,2022-06-08 18:22:00,5.1,16.4,11.2,2281054.70400237,彰化縣,彰化市,寶廍里
彰化縣彰化市寶廍里,2455,2022-06-07 13:31:00,2022-06-07 14:21:00,5.8,23.6,14.5,2281054.70400237,彰化縣,彰化市,寶廍里
