full_address,incident_id,start_time,end_time,min_flood_depth,max_flood_depth,avg_flood_depth,area_sqm,estimated_damage,estimated_damage_adjusted
桃園市桃園區龍山里,11740,2022-05-23 17:00:00,2022-05-23 17:00:00,90.0,90.0,90.0,1360879.1033893833,213619914.61723828,9636755042.372786
桃園市桃園區龍祥里,11926,2022-05-23 17:00:00,2022-05-23 17:00:00,62.0,62.0,62.0,435464.4944969349,56299288.449732915,2539755962.4629793
桃園市桃園區龍祥里,11932,2022-06-28 11:15:00,2022-06-28 11:15:00,100.0,100.0,100.0,435464.4944969349,72661605.55175856,3277887714.4598694
桃園市楊梅區高山里,12007,2022-06-28 11:15:00,2022-06-28 11:15:00,100.0,100.0,100.0,3172511.872311359,529365331.0138734,23880563907.37656
桃園市楊梅區高山里,12006,2022-05-23 17:00:00,2022-05-23 17:00:00,92.0,92.0,92.0,3172511.872311359,504269493.09914166,22748448285.100933
桃園市蘆竹區宏竹里,12008,2022-05-23 17:00:00,2022-05-23 17:00:00,100.0,100.0,100.0,5175221.720897741,863537496.3489971,38955634530.281944
桃園市蘆竹區富竹里,12059,2022-06-28 11:15:00,2022-06-28 11:15:00,100.0,100.0,100.0,2550906.8835952445,425644322.5967025,19201534086.326797
桃園市蘆竹區蘆竹里,12245,2022-05-23 17:00:00,2022-05-23 17:00:00,95.0,100.0,97.5,8409855.310268104,1382479294.744353,62365975281.26029
桃園市蘆竹區蘆竹里,12250,2022-06-28 11:15:00,2022-06-28 11:15:00,100.0,100.0,100.0,8409855.310268104,1403268457.071336,63303809496.01608
桃園市蘆竹區長興里,12449,2022-05-23 17:00:00,2022-05-23 17:00:00,95.0,95.0,95.0,2435479.2911823606,394343064.9110831,17789481500.429165
桃園市蘆竹區長興里,12462,2022-06-28 11:15:00,2022-06-28 11:15:00,100.0,100.0,100.0,2435479.2911823606,406384074.52668875,18332671775.251434
桃園市龍潭區上華里,12558,2022-06-28 11:15:00,2022-06-28 11:15:00,96.0,96.0,96.0,1270699.7225865358,207003084.1680151,9338258648.390368
桃園市龍潭區中正里,12709,2022-05-23 17:00:00,2022-05-23 17:00:00,93.0,93.0,93.0,898206.0054160403,143657631.37663284,6480638315.133856
